method,camera_frame,split,ground_truth_count,prediction_count,tp,fp,fn,precision,recall,f1,source_mode,detail_available
vision_only_tiled,119,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,120,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,121,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,122,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,123,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,124,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,125,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,126,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,127,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,128,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,129,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,130,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,131,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,132,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,133,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,134,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,135,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,136,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
vision_only_tiled,137,train,9,2,2,0,7,1.0,0.2222222222222222,0.3636363636363636,prediction_jsonl,True
